num,id
1,4274d9590540aacf296bf2c7b4c77c6c29890c3482e91f23d0f88259cfe06ff1i0
2,3e09304a3e95dba5462bd7eeba843b9de6fdb4b0893d9d76b1069d4ef403c963i0
3,7dd81997ea80ada5686ae16752a416c741674bc881b7d3331f13f1265ea6bf7fi0
4,80c50933106c8fc99e245edacb5241a3abd191b192cc891ef5ac0c27e61ed749i0
5,f304c1ddd245cb093c59723baea1ed181ffc5a8fbb80394d451bb8a4575b82efi0
6,e531de2dd25c95b18e07296b66ddf707b9f55fc0779f373d698e8de1af080782i0
7,dcbea41c522c8c2ad74080483df45a256a804839297e8eff09b5681219aed5a2i0
8,3e5fc1666c22d0f4977fe8d971f04276647a66f02a1fe0ae5254a55d58a1f988i0
9,30820e9ab35cfeb26df2fbad76c5ccbb21110e167410f56ff37613fa05cb0697i0
10,6556ae0a6ab51a4aa4028a137a5e9119b174e1b3ca5005a17f2e0ba7ced61602i0
11,7dd995f0e4c0951152df68f42674f75f94baf7afa719c8636d65c5353c18c379i0
12,d37127bdffed4d79e9efb6a23534d9346f15c051b6be9d5d68db42178fa7d636i0
13,a904cbccf237096d596d7e45f8712a80e6bf2f73c6b172e2ef2b5b4feceadef0i0
14,31523e5ce7d50081aea13cc2a52bded76a694ea5be7f7f78e083dba33af2abf9i0
15,2b1243abaa5a1d450d887c632ab0d38c5420a9f313cbbadec2c0b8cabcc5dbc2i0
16,2b8418c9cea4f1e488e804b7596e2fd607a74d5dbd1fef071a02194a1884637ai0
17,7805eb9d8552a595f43a9c110f3e386e40c88fddf0934e92b2ce69403542f4ffi0
18,9a41d4bab8f932c05f2622854320523666bdbcb63094d82b1280728de081210ei0
19,e417bb379bd336e6e6690dccb1cfd360467bf7c7eeb863b349afa1f62f5a14b6i0
20,3398f77cc5dc275aafb9e4bf651eb9f1a77502afdcebe6ee6ee8db5044e970c1i0
21,9bfe88c4d5ee37591d1ac542f7d37823de63747a5f59cb6e08091bff6f5c9ef4i0
22,cab1a21c5ade497d260a6d72f27d3059106303bd31e1bfabd42beea8fc081acei0
23,5a0a8b1774c598b5765ff9445da99b8f4e7cc006e40352362fe0e7de550d3093i0
24,90aab09bb4dbe6bb04af8a75bf8df58580df5c38917163f95697ac984f874ddai0
25,3dcb88953ad900ec6d04d779740fb40b8a963de62fc0902f60ac27bc836ea782i0
26,f8ee04ef705579ccee9e3b94ab5f2e08184e3d8632267e8e324c371cf3b6759bi0
27,53170e742b954ccd094e414395e442a663633ec559016fc16c93910ef7c9d638i0
28,598ba2289efc7203940f9ce0fba0f63f61b3a4247af881744d15c0256d088c2fi0
29,40cea59a137140298d398c364d462d729c810bd3efa2a33847f16ac64dec465bi0
30,ff2019b88eb72ffad01153557acb3e2541af657e7bccc6d045d25cacefc62dbei0
31,280b178b820f77fb24f32a83eecddbb7d8410263de6fffb75e6e1734906d5841i0
32,3bc36717763bd5393d35676b25684757df93a8b943cdc26d14fc6981477282b7i0
33,13cceed09a0de0a2c77c8702605d1d3e534697954db0b16de9df77c7e0e3a616i0
34,87fa13ea24617e1d1491372475ca547d1f6106fb785c62322981f9597d13b04di0
35,b107e34fc25522655ae4e871ebb3ec34e2b28dabbfea4a03285e766bea3cdc8ei0
36,040f4431ac036799a6e24784817f22d995aa6d88b6623575658b3e4667df405ei0
37,0c93f4124753725c245e632e689aef7307f7aadd1dc39cca97fd5f3fc2525d4di0
38,e0d1590ce3053ec9c150818a24946e81af3b431f0136a57106212e187712c69ei0
39,4aad974e926a933575df545cc7cf5bc5f7510b804bdc8547d700ccbbdeb1d137i0
40,2e424a279a6d4ed68c06a1f38310d0b4df90d90236bdfba94eaeeaf15370b17di0
41,5800c7d8d0a2dd63b76c62ac87c16ebe60516d31d2b4debca99e2ea4f706fef0i0
42,d663a2355c743d91723f68a32bf7139216bdf3da1fe0fd481501e6860e35d7bei0
43,5edbc4cddee9c458cd013f33e85b338113a48d67def613bc7dbe67b379918dedi0
44,3bd8192138889726be9b5cd2ccc427bddf46c30427a68bd08bea756f80a7e1aai0
45,e987d38a0a7aabbff2128bd06b4378904bcb88882d1196aa963744690e662758i0
46,81fa29c383490ccdb7c7d9da9fccb7ec1e2669b701be9a212343002d3984cedai0
47,b0a236407a270720cb4568dadd99a1fceeba52b32c1e8a33a60ff98f12750eaci0
48,11a022fadd4d4ea2c802dc8fe79dcb356a24cec51e90da5b939276f049733418i0
49,70739b968ec7e35d5b4e916fa99b1be49053461a7517707e8364cbdb9c485d18i0
50,bf97367db09c342a2f8bafee0ce78992a2a6432d729cd263c1cf3f6a258631f0i0
51,17cfc57fe081af688f6d36b1fa528b5fa580eac8786a7d762379abcb3d4734e0i0
52,8b4a33ff99ec5794ae51fcf2e2d56457318bd721e907f8cfeab25e69d9831fdfi0
53,bc468a8c8b46e3864be88eb845a3ff5e86595b71a43ab80af165a2621f02dd57i0
54,8dbc5499f21592d56022f2b97a933eddf9d7a8d0c93bc780760d88d1afdd4c4bi0
55,047b71f2d612af8f99e0b8981c2f392331b5ab4222c040d4241e8d64892b451ei0
56,5a357f23ef7345bdd2d65e6338f0ac620555be224d73f79573705194a31dc2d0i0
57,6fa6825a2dd18082b6e74b0be2116bfc12c26699b25e8cad50728527ff465846i0
58,0463ac822fcc453f9604dd1213d038e2ebb71602e2fb6d841510f3038f8ff8fai0
59,4260557fe95e4f61384f6048e96afd9cf21aac62b81fcc0e694f0849651da2e3i0
60,7d0657e82fc2358d84cad698a4c7361f529c48cd469a28243e465fd36e6c7294i0
